0, 92620, 1, 1048576, 0
0, 90191, 1, 1048576, 0
0, 93044, 1, 1048576, 0
9, 117698, 1, 1048576, 0
9, 113873, 1, 1048576, 0
9, 110198, 1, 1048576, 0
9, 113731, 1, 1048576, 0
20, 103464, 1, 1048576, 0
20, 100669, 1, 1048576, 0
20, 98083, 1, 1048576, 0
20, 101067, 1, 1048576, 0
29, 117535, 1, 1048576, 0
29, 113976, 1, 1048576, 0
29, 110781, 1, 1048576, 0
30, 112288, 1, 1048576, 0
40, 101976, 1, 1048576, 0
40, 99750, 1, 1048576, 0
40, 97421, 1, 1048576, 0
40, 100704, 1, 1048576, 0
50, 103065, 1, 1048576, 0
50, 100414, 1, 1048576, 0
50, 97952, 1, 1048576, 0
51, 101199, 1, 1048576, 0
59, 117483, 1, 1048576, 0
59, 114014, 1, 1048576, 0
60, 109157, 1, 1048576, 0
60, 105750, 1, 1048576, 0
70, 107292, 1, 1048576, 0
70, 96997, 1, 1048576, 0
71, 94710, 1, 1048576, 0
71, 100468, 1, 1048576, 0
80, 108654, 1, 1048576, 0
80, 105545, 1, 1048576, 0
81, 102770, 1, 1048576, 0
81, 108282, 1, 1048576, 0
91, 104128, 1, 1048576, 0
91, 101229, 1, 1048576, 0
91, 101350, 1, 1048576, 0
92, 96995, 1, 1048576, 0
102, 103610, 1, 1048576, 0
102, 96472, 1, 1048576, 0
102, 94244, 1, 1048576, 0
102, 99792, 1, 1048576, 0
111, 113433, 1, 1048576, 0
111, 110153, 1, 1048576, 0
112, 107211, 1, 1048576, 0
112, 111249, 1, 1048576, 0
122, 104402, 1, 1048576, 0
122, 101637, 1, 1048576, 0
122, 100256, 1, 1048576, 0
123, 97205, 1, 1048576, 0
131, 119446, 1, 1048576, 0
131, 109896, 1, 1048576, 0
132, 106901, 1, 1048576, 0
132, 111891, 1, 1048576, 0
142, 101831, 1, 1048576, 0
142, 99116, 1, 1048576, 0
142, 96711, 1, 1048576, 0
143, 101399, 1, 1048576, 0
152, 106037, 1, 1048576, 0
152, 103128, 1, 1048576, 0
153, 101638, 1, 1048576, 0
153, 99146, 1, 1048576, 0
163, 107671, 1, 1048576, 0
163, 100508, 1, 1048576, 0
163, 97954, 1, 1048576, 0
164, 101200, 1, 1048576, 0
172, 114016, 1, 1048576, 0
173, 110736, 1, 1048576, 0
173, 107635, 1, 1048576, 0
173, 110054, 1, 1048576, 0
183, 99184, 1, 1048576, 0
183, 96601, 1, 1048576, 0
184, 94318, 1, 1048576, 0
184, 97575, 1, 1048576, 0
193, 111729, 1, 1048576, 0
193, 108616, 1, 1048576, 0
193, 106293, 1, 1048576, 0
194, 111592, 1, 1048576, 0
