Linux 5.19.0-rc5-xfstests-perf-00989-g119d2587483a-dirty (harshads-do-not-delete-b0) 	01/12/24 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.01    0.00    0.14    2.20    0.00   97.65

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
nvme0n1           5.40         2.70      1752.57     96733.28      71016   46012232 2539651072
nvme0n2           0.00         0.08         0.00         0.00       2092          0          0
nvme0n3           0.00         0.08         0.00         0.00       2092          0          0
nvme0n4           0.00         0.08         0.00         0.00       2092          0          0
sda               4.82        47.74        36.27        14.07    1253250     952352     369352
sdb               0.02         1.40         0.00         0.00      36876          0          0
sdc             366.47         3.51      6037.32     77632.25      92160  158504712 2038169600


