Linux 5.19.0-rc5-xfstests-perf-00989-g119d2587483a-dirty (harshads-do-not-delete-b0) 	01/12/24 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.01    0.00    0.14    2.16    0.00   97.69

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
nvme0n1          10.92         4.84      3551.23    192656.80     130532   95762220 5195169792
nvme0n2           0.00         0.08         0.00         0.00       2092          0          0
nvme0n3           0.00         0.08         0.00         0.00       2092          0          0
nvme0n4           0.00         0.08         0.00         0.00       2092          0          0
sda               5.44        58.27        36.37        13.71    1571258     980840     369572
sdb               0.02         1.37         0.00         0.00      36876          0          0
sdc             356.80         3.42      5877.96     75583.14      92160  158504712 2038169600


