0,73208,61470
1,73540,62003
2,70794,70305
3,72697,68581
4,187518,76061
5,152009,71184
6,131724,69432
7,172718,69339
8,156726,77556
9,172105,58852
10,181108,76100
11,139989,89033
12,159288,76101
13,157448,90720
14,175282,103427
15,185673,82690
16,161952,81407
17,197366,75665
18,201333,59696
19,195058,102662
20,157578,73451
21,175180,85875
22,151909,93538
23,178492,84970
24,192895,73934
25,159284,64852
26,172682,81228
27,184389,80429
28,177443,86449
29,196731,70816
30,214510,66257
31,210475,70126
32,157452,78376
33,195362,81054
34,199137,84980
35,199213,78730
36,192452,63832
37,199370,87069
38,169245,88024
39,160084,83689
40,185215,73172
41,175459,72193
42,149463,73413
43,158257,103070
44,190447,80088
45,158320,72102
46,157205,87894
47,169964,101632
48,173341,112749
49,158949,136278
50,185801,102345
51,174597,121595
52,189172,130641
53,197816,122027
54,181044,137029
55,176978,74736
56,186624,75722
57,165062,92066
58,186596,135581
59,194105,97424
60,141639,103853
61,175488,112475
62,170274,95351
63,126370,83209
64,70962,69904
65,84456,61741
66,79085,60177
67,75268,66370
68,73162,68966
69,72249,69644
70,65839,75133
71,68012,70368
72,68381,67660
73,71114,63805
74,69997,65483
75,67477,71104
76,70730,64446
77,71922,61461
78,70583,64921
79,79133,63225
80,75815,66153
81,66071,72451
82,70665,66143
83,65620,73984
84,68040,69864
85,114815,90910
86,151891,98730
87,150228,94673
88,145506,110176
89,142128,113036
90,153594,94667
91,146997,116645
92,168721,93060
93,159757,97586
94,124201,111413
95,138780,93322
96,123160,107629
97,151233,97121
98,123983,90159
99,158619,102638
100,123305,106937
101,115889,95711
102,141059,90646
103,140174,84050
104,140136,98393
105,158458,97252
106,143894,98122
107,139755,97232
108,147849,94326
109,133439,99003
110,121612,99802
111,141104,98989
112,156191,91533
113,154468,99729
114,147093,92490
115,125586,87413
116,110081,118379
117,144147,100011
118,130377,84269
119,138206,105364
120,29026,81966
