Linux 5.19.0-rc5-xfstests-perf-00989-g119d2587483a-dirty (harshads-do-not-delete-a0) 	01/14/24 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.01    0.00    0.81    2.01    0.00   97.17

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
nvme0n1         376.96         2.30      5632.73     67062.27      28792   70546156  839909376
nvme0n2           0.01         0.17         0.00         0.00       2092          0          0
nvme0n3           0.01         0.17         0.00         0.00       2092          0          0
nvme0n4           0.01         0.17         0.00         0.00       2092          0          0
sda               6.65        90.99        33.88        10.35    1139525     424348     129624
sdb            1637.96         8.33     27152.58    271514.30     104285  340067652 3400531968


