Linux 5.19.0-rc5-xfstests-perf-00988-g8c6b42dcd7f8 (harshads-do-not-delete-fc0) 	01/03/24 	_x86_64_	(32 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.02    0.00    0.62    6.11    0.00   93.26

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
nvme0n1           0.14         4.31         0.00         0.00       5220          0          0
nvme0n2           0.08         1.73         0.00         0.00       2092          0          0
nvme0n3           0.08         1.73         0.00         0.00       2092          0          0
nvme0n4           0.08         1.73         0.00         0.00       2092          0          0
sda               5.80       150.99        18.50         0.82     182858      22400        996
sdb            1436.14        12.24      8718.17    182820.60      14820   10558572  221414028


